GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000661895.1	Rubrobacter radiotolerans
GCF_000689415.1	Pseudomonas knackmussii B13
GCF_000691605.1	Bdellovibrio bacteriovorus
GCF_000695235.1	Streptomyces albulus
GCF_000695835.1	Mycoplasma californicum
GCF_000696485.1	Halomonas campaniensis
GCF_000697965.2	Ensifer adhaerens
GCF_000698845.1	Rhizobium etli bv. mimosae str. IE4771
GCF_000698865.1	Pseudomonas chlororaphis
GCF_000699505.1	Rhodoluna lacicola
GCF_000701165.1	Burkholderia cepacia JBK9
GCF_000706685.1	Staphylococcus xylosus
GCF_000706725.1	Bacillus lehensis G1
GCF_000706765.1	Bifidobacterium indicum LMG 11587 = DSM 20214
GCF_000709555.1	endosymbiont of Llaveia axin axin
GCF_000723165.1	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628
GCF_000723465.1	Ruminococcus bicirculans
GCF_000723505.1	Mucinivorans hirudinis
GCF_000724485.1	Bacillus methanolicus MGA3
GCF_000724505.1	Enterobacter cloacae ECNIH2
GCF_000724605.1	Actinotignum schaalii
GCF_000724625.1	Fimbriimonas ginsengisoli Gsoil 348
GCF_000724775.3	Lysinibacillus fusiformis
GCF_000725285.1	Virgibacillus sp. SK37
GCF_000725345.1	Pelosinus sp. UFO1
GCF_000725365.1	Terribacillus aidingensis
GCF_000725385.1	Dyella japonica A8
GCF_000725405.1	Dermacoccus nishinomiyaensis
GCF_000725425.1	Palaeococcus pacificus DY20341
GCF_000730245.1	endosymbiont of Acanthamoeba sp. UWC8
GCF_000730385.1	Alteromonas australica
GCF_000730425.1	Pseudomonas fluorescens
GCF_000731295.1	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141
GCF_000732905.1	Weissella ceti
GCF_000732945.1	Corynebacterium atypicum
GCF_000734015.1	Thermodesulfobacterium commune DSM 2178
GCF_000734895.2	Calothrix sp. 336/3
GCF_000734975.2	Halomonas sp. KO116
GCF_000736415.1	Campylobacter iguaniorum
GCF_000737325.1	Sandaracinus amylolyticus
GCF_000737515.1	Hymenobacter sp. APR13
GCF_000737535.1	Synechococcus sp. KORDI-100
GCF_000737575.1	Synechococcus sp. KORDI-49
GCF_000737595.1	Synechococcus sp. KORDI-52
GCF_000738435.1	Planktomarina temperata RCA23
GCF_000739065.1	Methanocaldococcus bathoardescens
GCF_000739085.1	Amycolatopsis methanolica 239
GCF_000739105.1	Streptomyces lividans TK24
GCF_000739375.1	Comamonas testosteroni TK102
GCF_000739435.1	Actinobacillus suis ATCC 33415
GCF_000739455.1	Corynebacterium imitans
GCF_000742835.1	Candidatus Paracaedibacter acanthamoebae
GCF_000742855.1	Bacillus mycoides
GCF_000743945.1	Basilea psittacipulmonis DSM 24701
GCF_000746525.1	Pseudomonas alkylphenolia
GCF_000746585.1	Rickettsiales bacterium Ac37b
GCF_000747315.1	Corynebacterium ureicelerivorans
GCF_000747345.1	Bacillus sp. X1(2014)
GCF_000747525.1	Sphingobacterium sp. ML3W
GCF_000754265.1	Candidatus Baumannia cicadellinicola
GCF_000755145.1	Treponema putidum
GCF_000755185.1	Corynebacterium sp. ATCC 6931
GCF_000755585.2	Arthrobacter sp. A3
GCF_000755705.1	Candidatus Izimaplasma sp. HR1
GCF_000755725.1	Burkholderia cenocepacia
GCF_000755985.1	Burkholderia oklahomensis
GCF_000756615.1	Paenibacillus durus
GCF_000756715.1	Jeotgalicoccus saudimassiliensis
GCF_000756775.1	Pseudomonas saudiphocaensis
GCF_000757785.1	Pluralibacter gergoviae
GCF_000757825.1	Cedecea neteri
GCF_000757845.1	Prochlorococcus sp. MIT 0604
GCF_000757865.1	Prochlorococcus sp. MIT 0801
GCF_000758265.1	Achromobacter xylosoxidans C54
GCF_000758525.1	Paenibacillus sp. FSL H7-0357
GCF_000758545.1	Paenibacillus sp. FSL H7-0737
GCF_000758565.1	Paenibacillus sp. FSL P4-0081
GCF_000758625.1	Paenibacillus sp. FSL R7-0273
GCF_000758645.1	Paenibacillus sp. FSL R7-0331
GCF_000758665.1	Paenibacillus borealis
GCF_000758685.1	Paenibacillus stellifer
GCF_000758705.1	Paenibacillus graminis
GCF_000758725.1	Paenibacillus odorifer
GCF_000759475.1	Pantoea rwandensis
GCF_000759535.1	Pseudomonas cremoricolorata
GCF_000761135.1	Lactobacillus sp. wkB8
GCF_000761155.1	Pseudomonas rhizosphaerae
GCF_000761215.1	Streptomyces glaucescens
GCF_000762265.1	Methanobacterium formicicum
GCF_000763535.1	Vibrio coralliilyticus
GCF_000763575.1	Thermoanaerobacter kivui
GCF_000764535.1	Sphingomonas taxi
GCF_000764555.1	Francisella sp. FSC1006
GCF_000767055.1	Corynebacterium doosanense CAU 212 = DSM 45436
GCF_000767275.2	Fervidobacterium islandicum
GCF_000767465.1	Novosphingobium pentaromativorans US6-1
GCF_000769655.1	Thermococcus eurythermalis
GCF_000772045.1	Streptomyces sp. CCM_MD2014
GCF_000772105.1	Vibrio tubiashii ATCC 19109
GCF_000775995.1	Treponema sp. OMZ 838
GCF_000784875.1	Pantoea sp. PSNIH1
GCF_000784965.1	Pantoea sp. PSNIH2
GCF_000785495.1	Pimelobacter simplex
GCF_000785535.1	Arthrobacter sp. PAMC 25486
GCF_000785555.1	Planococcus sp. PAMC 21323
GCF_000785705.2	Methylomonas denitrificans
GCF_000786695.1	Collimonas arenae
GCF_000788395.1	Pseudoalteromonas sp. OCN003
GCF_000789255.1	Geoglobus acetivorans
GCF_000789395.1	Clostridium baratii str. Sullivan
GCF_000800255.1	Pseudomonas parafulva
GCF_000800295.1	Parvimonas micra
GCF_000800395.1	Deinococcus swuensis
GCF_000800455.1	Bifidobacterium kashiwanohense PV20-2
GCF_000800475.2	Bifidobacterium pseudolongum PV8-2
GCF_000800805.1	Candidatus Methanoplasma termitum
GCF_000800825.1	Bacillus sp. WP8
GCF_000801275.2	Vibrio nigripulchritudo
GCF_000801295.1	endosymbiont of unidentified scaly snail isolate Monju
GCF_000801315.1	Hymenobacter sp. DG25B
GCF_000803645.1	Sphingopyxis fribergensis
GCF_000807175.1	Clostridium pasteurianum DSM 525 = ATCC 6013
GCF_000807225.1	Myroides sp. A21
GCF_000807275.1	Frischella perrara
GCF_000807415.2	Enterobacter cloacae complex sp. 35734
GCF_000812185.1	Candidatus Nitrosopelagicus brevis
GCF_000812665.2	Halocynthiibacter arcticus
GCF_000814825.1	Coriobacteriaceae bacterium 68-1-3
GCF_000815025.1	Coxiella endosymbiont of Amblyomma americanum
GCF_000815065.1	Mycoplasma flocculare ATCC 27399
GCF_000815185.1	Xanthomonas sacchari
GCF_000815225.1	Allofrancisella guangzhouensis
GCF_000816025.1	Streptomyces sp. 769
GCF_000816085.1	Staphylococcus hyicus
GCF_000816105.1	Thermococcus guaymasensis DSM 11113
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927
GCF_000816225.1	Campylobacter lari subsp. concheus LMG 11760
GCF_000816245.1	Campylobacter sp. RM16704
GCF_000816265.1	Campylobacter subantarcticus LMG 24374
GCF_000816345.1	Campylobacter volucris LMG 24379
GCF_000816365.1	Campylobacter lari NCTC 11845
GCF_000816785.1	Campylobacter peloridis LMG 23910
GCF_000816845.1	Rhizobium gallicum bv. gallicum R602
GCF_000817955.1	Geobacter pickeringii
GCF_000817975.1	Azotobacter chroococcum NCIMB 8003
GCF_000818015.1	Pseudomonas balearica DSM 6083
GCF_000818035.1	Neisseria elongata subsp. glycolytica ATCC 29315
GCF_000818095.1	Jeotgalibacillus malaysiensis
GCF_000819445.1	Corynebacterium humireducens NBRC 106098 = DSM 45392
GCF_000819565.1	Celeribacter indicus
GCF_000827005.1	Streptomyces albus
GCF_000827125.1	Geoalkalibacter subterraneus
GCF_000828475.1	Methyloceanibacter caenitepidi
GCF_000828515.1	Candidatus Ishikawaella capsulata Mpkobe
GCF_000828575.1	Methanothermobacter sp. CaT2
GCF_000828615.1	Thiolapillus brandeum
GCF_000828635.1	Sulfuritalea hydrogenivorans sk43H
GCF_000828655.1	Thermotoga caldifontis AZM44c09
GCF_000828675.1	Thermotoga profunda AZM34c06
GCF_000828715.1	Winogradskyella sp. PG-2
GCF_000828815.1	Candidatus Tachikawaea gelatinosa
GCF_000828835.1	Thioploca ingrica
GCF_000828855.1	Mycoplasma canadense
GCF_000828895.1	Comamonadaceae bacterium A1
GCF_000828915.1	Comamonadaceae bacterium B1
GCF_000828975.1	Burkholderiales bacterium GJ-E10
GCF_000829055.1	Lactobacillus casei subsp. casei ATCC 393
GCF_000829195.1	Bacillus sp. OxB-1
GCF_000829235.1	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
GCF_000829315.1	Wolbachia endosymbiont of Cimex lectularius
GCF_000829375.1	Chryseobacterium sp. StRB126
GCF_000829395.1	Lactobacillus hokkaidonensis JCM 18461
GCF_000829415.1	Pseudomonas sp. StFLB209
GCF_000829965.1	Raoultella ornithinolytica
GCF_000830005.1	Streptomyces vietnamensis
GCF_000830985.1	Marinobacter similis
GCF_000831005.1	Marinobacter salarius
GCF_000831485.1	Streptococcus iniae
GCF_000831645.3	Lactobacillus heilongjiangensis
GCF_000832305.1	Cupriavidus basilensis
GCF_000833575.1	Corynebacterium singulare
GCF_000834215.1	Yersinia frederiksenii Y225
GCF_000834255.1	Yersinia ruckeri
GCF_000834395.1	Yersinia aldovae 670-83
GCF_000834455.1	Yersinia rohdei
GCF_000834515.1	Yersinia intermedia
GCF_000835165.1	Corynebacterium marinum DSM 44953
GCF_000835205.1	Burkholderia glumae PG1
GCF_000875675.1	Rathayibacter toxicus
GCF_000875755.1	Mycoplasma yeatsii GM274B
GCF_000931445.1	Streptomyces cyaneogriseus subsp. noncyanogenus
GCF_000931465.1	Pseudomonas sp. MRSN12121
GCF_000940805.1	Gynuella sunshinyii YC6258
GCF_000940995.1	Photobacterium gaetbulicola Gung47
GCF_000941055.1	Siansivirga zeaxanthinifaciens CC-SAMT-1
GCF_000941075.1	Mycoplasma dispar
GCF_000943805.1	Sphingobium sp. YBL2
GCF_000949425.1	Paenibacillus sp. IHBB 10380
GCF_000950575.1	Arthrobacter sp. IHBB 11108
GCF_000952035.1	Streptomyces lydicus A02
GCF_000952975.1	Peptoniphilus sp. ING2-D1G
GCF_000953015.1	Candidatus Methylopumilus turicensis
GCF_000953135.1	Legionella fallonii LLAP-10
GCF_000953195.1	Acholeplasma oculi
GCF_000953215.1	[Clostridium] cellulosi
GCF_000953355.1	Xenorhabdus nematophila AN6/1
GCF_000953435.1	Candidatus Evansia muelleri
GCF_000953475.1	Methylacidiphilum fumariolicum SolV
GCF_000953535.1	Fermentimonas caenicola
GCF_000953635.1	Tatlockia micdadei
GCF_000953655.1	Legionella hackeliae
GCF_000953695.1	Aliivibrio wodanis
GCF_000953715.1	Defluviitoga tunisiensis
GCF_000953735.1	Moritella viscosa
GCF_000954115.1	Rhodococcus sp. B7740
GCF_000954135.1	Ralstonia mannitolilytica
GCF_000955665.1	Elizabethkingia miricola
GCF_000955905.1	Candidatus Nitrosotenuis cloacae
GCF_000956175.1	Candidatus Nitrosopumilus adriaticus
GCF_000956315.1	Borrelia hermsii CC1
GCF_000958465.1	Clavibacter michiganensis subsp. insidiosus
GCF_000959245.1	Burkholderia ubonensis MSMB22
GCF_000959505.1	Burkholderia dolosa AU0158
GCF_000960975.1	Martelella endophytica
GCF_000961095.1	Paenibacillus beijingensis
GCF_000961515.1	Paraburkholderia fungorum
GCF_000963495.1	Pseudomonas fluorescens PICF7
GCF_000963865.1	Muricauda lutaonensis
GCF_000966445.2	Bifidobacterium angulatum
GCF_000967305.2	Alcaligenes faecalis
GCF_000967425.1	Rhizobium sp. NT-26
GCF_000967895.1	Oleispira antarctica RB-8
GCF_000967915.1	Acholeplasma brassicae
GCF_000968055.1	Acholeplasma palmae J233
GCF_000968135.1	Magnetospira sp. QH-2
GCF_000968175.1	Xenorhabdus poinarii G6
GCF_000968195.1	Xenorhabdus doucetiae
GCF_000968375.1	Clostridium scatologenes
GCF_000968535.2	Methylomicrobium alcaliphilum 20Z
GCF_000969645.2	Janthinobacterium sp. B9-8
GCF_000969885.1	Methanosarcina thermophila TM-1
GCF_000969905.1	Methanosarcina vacuolata Z-761
GCF_000969965.1	Methanosarcina sp. WWM596
GCF_000970025.1	Methanosarcina barkeri MS
GCF_000970045.1	Methanosarcina sp. MTP4
GCF_000970085.1	Methanosarcina siciliae T4/M
GCF_000970265.1	Methanosarcina lacustris Z-7289
GCF_000970285.1	Methanosarcina horonobensis HB-1 = JCM 15518
GCF_000970305.1	Methanosarcina barkeri 3
GCF_000970325.1	Methanococcoides methylutens MM1
GCF_000972245.3	Bacillus endophyticus
GCF_000972745.1	Xanthomonas campestris
GCF_000972765.1	Verrucomicrobia bacterium IMCC26134
GCF_000972865.1	Pseudoxanthomonas suwonensis
GCF_000973085.1	Sneathia amnii
GCF_000973105.1	Zobellia galactanivorans
GCF_000973505.1	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri
GCF_000973525.1	Pasteurella multocida subsp. multocida OH4807
GCF_000973545.1	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus
GCF_000973625.1	Polynucleobacter duraquae
GCF_000973705.1	Clostridium sporogenes
GCF_000973725.1	Pontibacter korlensis
GCF_000974425.1	Spirosoma radiotolerans
GCF_000980815.1	Corynebacterium camporealensis
GCF_000980835.1	Corynebacterium kutscheri
GCF_000981505.1	Candidatus Methylopumilus planktonicus
GCF_000981525.1	Lactococcus piscium MKFS47
GCF_000981545.1	Candidatus Filomicrobium marinum
GCF_000981585.1	Paenibacillus riograndensis SBR5
GCF_000981765.1	Kangiella geojedonensis
GCF_000981785.1	Microcystis aeruginosa NIES-2549
GCF_000981805.1	Citrobacter amalonaticus Y19
GCF_000982715.1	Rhodococcus aetherivorans
GCF_000987835.1	Sulfurovum lithotrophicum
GCF_000988065.1	Mycoplasma canis
GCF_000988565.1	Myxococcus fulvus 124B02
GCF_000993785.2	Streptomyces xiamenensis
GCF_000993805.1	Thermofilum sp. 1807-2
GCF_000993825.1	Paenibacillus durus ATCC 35681
GCF_001005905.1	Salinicoccus halodurans
GCF_001006005.1	Serratia fonticola
GCF_001006045.1	Geoglobus ahangari
GCF_001007875.1	Sedimenticola thiotaurini
GCF_001007935.1	Nitrosomonas communis
GCF_001007995.1	'Deinococcus soli' Cha et al. 2014
GCF_001008165.2	Altererythrobacter atlanticus
GCF_001010285.1	Photorhabdus temperata subsp. thracensis
GCF_001010785.1	Pandoraea apista
GCF_001010805.1	Spongiibacter sp. IMCC21906
GCF_001011035.1	Streptomyces sp. CNQ-509
GCF_001011055.1	Edwardsiella tarda
GCF_001011115.1	Halanaeroarchaeum sulfurireducens
GCF_001011155.1	Hoeflea sp. IMCC20628
GCF_001017435.1	[Polyangium] brachysporum
GCF_001017655.1	Kiritimatiella glycovorans
GCF_001020955.1	Thioalkalivibrio versutus
GCF_001020985.1	Corynebacterium mustelae
GCF_001021025.1	Corynebacterium epidermidicanis
GCF_001021045.1	Corynebacterium testudinoris
GCF_001021065.1	Corynebacterium uterequi
GCF_001021085.1	Candidatus Liberibacter africanus PTSAPSY
GCF_001021385.1	Mycobacterium sp. EPa45
GCF_001021935.1	Xanthomonas translucens pv. undulosa
GCF_001021975.1	Chryseobacterium gallinarum
GCF_001022135.1	Kluyvera intermedia
GCF_001022155.1	Citrobacter freundii
GCF_001023575.1	Actinobacteria bacterium IMCC26256
GCF_001025195.1	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
GCF_001025215.1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
GCF_001026985.1	Pragia fontium
GCF_001027025.1	Kosmotoga pacifica
GCF_001027285.1	Archangium gephyra
GCF_001027545.1	Endomicrobium proavitum
GCF_001028085.1	Geobacillus sp. 12AMOR1
GCF_001028625.1	Altererythrobacter marensis
GCF_001028645.1	Staphylococcus capitis subsp. capitis
GCF_001028665.1	Burkholderia pyrrocinia
GCF_001028705.1	Croceicoccus naphthovorans
GCF_001029105.3	Pandoraea faecigallinarum
GCF_001029265.1	Spiroplasma eriocheiris CCTCC M 207170
GCF_001038625.1	Clostridium carboxidivorans P7
GCF_001042405.1	Lactobacillus acetotolerans
GCF_001042635.1	Bifidobacterium scardovii JCM 12489 = DSM 13734
GCF_001042675.1	Parascardovia denticolens DSM 10105 = JCM 12538
GCF_001042695.1	Scardovia inopinata JCM 12537
GCF_001042715.1	Clostridium aceticum
GCF_001046955.1	Marinovum algicola DG 898
GCF_001047675.1	Yersinia aleksiciae
GCF_001050115.1	Bacillus smithii
GCF_001050135.1	Cyclobacterium amurskyense
GCF_001050435.1	Lactobacillus koreensis
GCF_001050475.1	Lactobacillus ginsenosidimutans
GCF_001051995.2	Thauera humireducens
GCF_001077715.1	Coxiella-like endosymbiont
GCF_001077815.2	Erythrobacter atlanticus
GCF_001078055.1	Rufibacter sp. DG31D
GCF_001078275.1	Bordetella hinzii
GCF_001182765.1	Synechococcus sp. WH 8103
GCF_001183865.1	Methylophilus sp. TWE2
GCF_001185205.1	Devosia sp. H5989
GCF_001186155.3	Planococcus sp. L10.15
GCF_001186335.1	Pseudomonas trivialis
GCF_001187505.1	Mycobacterium goodii
GCF_001187595.1	Anoxybacillus gonensis
GCF_001187785.1	Wenzhouxiangella marina
GCF_001187845.1	Octadecabacter temperatus
GCF_001188855.1	Staphylococcus schleiferi
GCF_001189295.1	Chondromyces crocatus
GCF_001189495.1	Eubacterium sulci ATCC 35585
GCF_001189515.2	Olsenella sp. oral taxon 807
GCF_001189535.1	Arsenicicoccus sp. oral taxon 190
GCF_001189555.1	Selenomonas sp. oral taxon 478
GCF_001190745.1	Campylobacter gracilis
GCF_001190755.1	Campylobacter ureolyticus RIGS 9880
GCF_001190925.1	Azoarcus sp. CIB
GCF_001190945.1	Luteipulveratus mongoliensis
GCF_001190965.1	Haloferax gibbonsii
GCF_001191005.1	Massilia sp. NR 4-1
GCF_001262015.1	Prevotella fusca JCM 17724
GCF_001262055.1	Actinomyces meyeri
GCF_001262075.1	Ottowia sp. oral taxon 894
GCF_001263175.1	Vulgatibacter incomptus
GCF_001263395.1	Bifidobacterium actinocoloniiforme DSM 22766
GCF_001266755.1	Microbacterium sp. CGR1
GCF_001267175.1	Oblitimonas alkaliphila
GCF_001267395.1	Enterococcus durans
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877
GCF_001267925.1	Herbaspirillum hiltneri N3
GCF_001271345.1	Chelatococcus sp. CO-6
GCF_001273775.1	Nitrospira moscoviensis
GCF_001274535.1	Leptotrichia sp. oral taxon 212
GCF_001274595.1	Stenotrophomonas maltophilia
GCF_001274875.1	Spiroplasma kunkelii CR2-3x
GCF_001274895.1	Corynebacterium lactis RW2-5
GCF_001275345.1	Kocuria palustris
GCF_001275365.1	Francisella persica ATCC VR-331
GCF_001277195.1	Cronobacter muytjensii ATCC 51329
GCF_001277255.1	Cronobacter condimenti 1330
GCF_001277295.1	Anabaena sp. wa102
GCF_001277995.1	Corynebacterium deserti GIMN1.010
GCF_001278035.1	Sphingopyxis sp. 113P3
GCF_001278055.1	Desulfuromonas soudanensis
GCF_001278075.1	Streptomyces pristinaespiralis
GCF_001278095.1	Streptomyces sp. CFMR 7
GCF_001278715.1	Acinetobacter sp. TTH0-4
GCF_001278845.1	Actinomyces sp. oral taxon 414
GCF_001280205.1	Clavibacter michiganensis subsp. capsici
GCF_001280305.1	Hymenobacter sp. DG25A
GCF_001281045.1	Spiroplasma cantharicola
GCF_001281115.1	Arthrobacter sp. LS16
GCF_001281315.1	Arthrobacter sp. ERGS1:01
GCF_001281385.1	Candidatus Thioglobus singularis PS1
GCF_001281405.1	Bartonella ancashensis
GCF_001281465.1	Cupriavidus gilardii CR3
GCF_001281485.1	Altererythrobacter epoxidivorans
GCF_001281505.1	Lawsonella clevelandensis
GCF_001293045.1	Burkholderia sp. HB1
GCF_001293165.1	Candidatus Thioglobus autotrophicus
GCF_001294425.1	Pseudonocardia sp. EC080625-04
GCF_001294575.1	Pseudomonas sp. L10.10
GCF_001294605.1	Pseudonocardia sp. AL041005-10
GCF_001294625.1	Arthrobacter alpinus
GCF_001294645.1	Pseudonocardia sp. HH130629-09
GCF_001298465.1	Campylobacter concisus
GCF_001298525.1	Psychrobacter urativorans
GCF_001302565.1	Glutamicibacter arilaitensis
GCF_001302585.1	Kibdelosporangium phytohabitans
GCF_001304715.1	Megasphaera elsdenii 14-14
GCF_001304795.1	Citromicrobium sp. JL477
GCF_001305595.1	Azospirillum thiophilum
GCF_001305615.1	Confluentimicrobium sp. EMB200-NS6
GCF_001305675.1	Gordonia sp. QH-11
GCF_001307295.1	Sphingopyxis macrogoltabida
GCF_001308105.1	Persicobacter sp. JZB09
GCF_001308145.2	Weissella cibaria
GCF_001308265.1	Celeribacter marinus
GCF_001310085.1	Rufibacter tibetensis
GCF_001310225.1	Algibacter alginolytica
GCF_001310255.1	Brevundimonas sp. DS20
GCF_001314225.1	Microbacterium sp. No. 7
GCF_001314305.1	Stenotrophomonas acidaminiphila
GCF_001314945.1	Lactobacillus kunkeei
GCF_001314995.1	Bacteroides ovatus
GCF_001318295.1	Candidatus Xiphinematobacter sp. Idaho Grape
GCF_001318345.1	Bacteroides cellulosilyticus
GCF_001399775.1	Thermus aquaticus Y51MC23
GCF_001402875.1	Blastochloris viridis
GCF_001402915.1	Devosia sp. A16
GCF_001406115.1	Streptomyces venezuelae
GCF_001411495.1	Burkholderia cepacia ATCC 25416
GCF_001412535.1	Limnohabitans sp. 63ED37-2
GCF_001412575.1	Limnohabitans sp. 103DPR2
GCF_001412595.1	Massilia sp. WG5
GCF_001412615.1	Pyrodictium delaneyi
GCF_001412655.1	Pedobacter sp. PACM 27299
GCF_001414055.1	Caulobacter henricii
GCF_001420915.1	Agarivorans gilvus
GCF_001421015.1	Paenibacillus bovis
GCF_001430825.1	Sediminicola sp. YIK13
GCF_001430865.1	Nonlabens sp. MIC269
GCF_001431725.1	Halomonas huangheensis
GCF_001432245.1	Staphylococcus equorum
GCF_001433715.1	Alteromonas stellipolaris LMG 21856
GCF_001433955.1	Fusobacterium nucleatum subsp. polymorphum
GCF_001439585.2	Aneurinibacillus sp. XH2
GCF_001442535.1	Lysobacter antibioticus
GCF_001442755.1	Aureimonas sp. AU20
GCF_001442785.1	Lysobacter capsici
GCF_001442805.1	Lysobacter gummosus
GCF_001442815.1	Staphylococcus agnetis
GCF_001443605.1	bacterium L21-Spi-D4
GCF_001443645.1	Lactobacillus paraplantarum
GCF_001444365.1	Colwellia sp. MT41
GCF_001444405.1	Pseudoalteromonas phenolica
GCF_001444425.1	Pseudohongiella spirulinae
GCF_001444445.1	Prevotella enoeca
GCF_001447335.1	Aeromonas schubertii
GCF_001455085.1	Fusobacterium hwasookii ChDC F206
GCF_001455205.1	Nitrosomonas ureae
GCF_001456065.2	Clostridium butyricum
GCF_001456115.1	Sphingobium baderi
GCF_001456155.1	Chryseobacterium sp. IHB B 17019
GCF_001458475.1	Kingella kingae
GCF_001458695.1	Candidatus Nitrospira inopinata
GCF_001460635.1	Helicobacter typhlonius
GCF_001465255.1	Paenibacillus naphthalenovorans
GCF_001465275.1	Paenibacillus sp. 32O-W
GCF_001465545.3	Pandoraea norimbergensis
GCF_001465835.2	Planococcus kocurii
GCF_001466725.1	Lacimicrobium alkaliphilum
GCF_001477625.1	Paucibacter sp. KCTC 42545
GCF_001477655.1	Methanobrevibacter millerae
GCF_001481725.1	Eubacterium limosum
GCF_001482365.1	Kocuria flava
GCF_001482385.1	Pseudoalteromonas rubra
GCF_001483385.1	Tenacibaculum dicentrarchi
GCF_001483865.1	Roseateles depolymerans
GCF_001483945.1	Herbaspirillum rubrisubalbicans M1
GCF_001483965.1	Carnobacterium sp. CP1
GCF_001484065.1	Pannonibacter phragmitetus
GCF_001484565.1	Streptomyces sp. CdTB01
GCF_001484605.1	Pseudarthrobacter sulfonivorans
GCF_001484685.1	Thermococcus sp. 2319x1
GCF_001484705.1	Streptomyces sp. 4F
GCF_001484935.1	Acinetobacter johnsonii XBB1
GCF_001488575.1	Halobacterium hubeiense
GCF_001499615.1	Acetobacter senegalensis
GCF_001499655.1	Protochlamydia naegleriophila
GCF_001507665.1	Deinococcus actinosclerus
GCF_001511755.1	Pseudomonas sp. URMO17WK12:I11
GCF_001511815.1	Streptomyces reticuli
GCF_001514355.1	Achromobacter denitrificans
GCF_001518795.1	Aerococcus urinaeequi
GCF_001518815.1	Pseudomonas oryzihabitans
GCF_001518835.1	Leclercia adecarboxylata
GCF_001534645.1	Flavobacterium columnare
GCF_001534745.1	Pseudomonas monteilii
GCF_001535545.1	Thermus parvatiensis
GCF_001542565.1	Arthrobacter sp. ATCC 21022
GCF_001542815.1	Methylobacterium sp. AMS5
GCF_001543105.1	Aerococcus christensenii
GCF_001543175.1	Aerococcus urinae
GCF_001543265.1	Pseudomonas fragi
GCF_001543285.1	Aerococcus viridans
GCF_001547895.1	Pseudomonas sp. Os17
GCF_001547975.1	Mycoplasma arginini
GCF_001547995.1	Asaia bogorensis NBRC 16594
GCF_001548015.1	Methylobacterium aquaticum
GCF_001548055.1	Sulfurospirillum cavolei
GCF_001548075.1	Rhodovulum sulfidophilum
GCF_001548235.1	Rothia mucilaginosa
GCF_001548455.1	Fischerella sp. NIES-3754
GCF_001553605.1	Desulfovibrio fairfieldensis
GCF_001553685.1	Streptococcus sp. oral taxon 431
GCF_001553895.1	Bacillus sp. SDLI1
GCF_001553915.1	Gemella sp. oral taxon 928
GCF_001553935.1	Actinomyces oris
GCF_001553955.1	Moraxella osloensis
GCF_001557535.1	Burkholderia sp. PAMC 26561
GCF_001558255.1	Grimontia hollisae
GCF_001558415.1	Vibrio fluvialis
GCF_001558435.1	Vibrio harveyi
GCF_001558475.1	Vibrio mimicus
GCF_001558975.1	Microbacterium sp. PAMC 28756
GCF_001559115.1	Staphylococcus simulans
GCF_001559255.1	Hafnia alvei
GCF_001562215.1	Stenotrophomonas sp. KCTC 12332
GCF_001563285.1	Sphingobium sp. MI1205
GCF_001578105.1	Martelella sp. AD-3
GCF_001578185.1	Bacillus simplex
GCF_001579805.1	Pseudomonas azotoformans
GCF_001579905.1	Labrenzia sp. CP4
GCF_001580455.1	Ramlibacter tataouinensis
GCF_001582075.1	Enterobacter sp. FY-07
GCF_001583415.1	Mycobacterium phlei
GCF_001584185.1	Collimonas pratensis
GCF_001586155.1	Pseudomonas citronellolis
GCF_001586165.1	Obesumbacterium proteus
GCF_001586215.1	Corynebacterium simulans
GCF_001586255.1	Zhongshania aliphaticivorans
GCF_001587175.1	Streptococcus sp. A12
GCF_001590615.1	Legionella pneumophila subsp. pascullei
GCF_001592435.1	Thermococcus peptonophilus
GCF_001597285.1	Pseudomonas alcaligenes
GCF_001598035.1	Streptococcus halotolerans
GCF_001605725.1	Mycobacterium immunogenum
GCF_001605965.1	Pseudomonas koreensis
GCF_001606005.1	Brevibacterium linens
GCF_001606025.1	Psychrobacter alimentarius
GCF_001610975.1	Sphingopyxis terrae NBRC 15098
GCF_001611035.1	Pediococcus damnosus
GCF_001611795.1	Streptomyces sp. S10(2016)
GCF_001611855.1	Mycobacterium sp. QIA-37
GCF_001618685.1	Geobacillus subterraneus
GCF_001618885.1	Staphylococcus condimenti
GCF_001620005.1	Rhodococcus sp. PBTS 2
GCF_001628715.1	Acetobacter sp. SLV-7
GCF_001632845.1	Ectothiorhodospira sp. BSL-9
GCF_001634365.1	Burkholderia sp. OLGA172
GCF_001636015.1	Moraxella ovis
GCF_001638925.1	Sphingomonas sp. NIC1
GCF_001639105.1	Azospirillum humicireducens
GCF_001640865.1	Bacteroides dorei CL03T12C01
