	s	c	o	f	n
GCF_000145705.1_ASM14570v1_protein.faa.named.faa	0.16	0.02	0.0	0.15	0.16
GCF_000013725.1_ASM1372v1_protein.faa.named.faa	0.25	0.91	0.42	0.38	0.49
GCF_000512125.1_ASM51212v1_protein.faa.named.faa	0.17	0.07	0.21	0.59	0.65
GCF_001271345.1_ASM127134v1_protein.faa.named.faa	0.12	0.03	0.29	0.76	0.7
GCF_000022985.1_ASM2298v1_protein.faa.named.faa	0.26	0.05	0.12	0.49	0.37
GCF_000264455.2_ASM26445v2_protein.faa.named.faa	0.02	0.02	0.42	0.52	0.73
GCF_000021905.1_ASM2190v1_protein.faa.named.faa	0.55	0.21	0.27	0.51	0.51
GCF_000789395.1_ASM78939v1_protein.faa.named.faa	0.09	0.02	0.02	0.11	0.27
GCF_000014445.1_ASM1444v1_protein.faa.named.faa	0.2	0.01	0.16	0.12	0.14
GCF_000091985.1_ASM9198v1_protein.faa.named.faa	0.15	0.02	0.11	0.44	0.32
GCF_000007205.1_ASM720v1_protein.faa.named.faa	0.06	0.14	0.02	0.05	0.07
GCF_001281505.1_ASM128150v1_protein.faa.named.faa	0.06	0.02	0.09	0.15	0.35
GCF_000013345.1_ASM1334v1_protein.faa.named.faa	0.12	0.07	0.59	0.26	0.8
GCF_000007905.1_ASM790v1_protein.faa.named.faa	0.22	0.03	0.05	0.64	0.44
GCF_000010405.1_ASM1040v1_protein.faa.named.faa	0.55	0.04	0.34	0.71	0.61
GCF_000246855.1_ASM24685v1_protein.faa.named.faa	0.07	0.05	0.4	0.4	0.74
GCF_000016165.1_ASM1616v1_protein.faa.named.faa	0.53	0.09	0.35	0.34	0.52
GCF_000005845.2_ASM584v2_protein.faa.named.faa	0.13	0.07	0.28	0.58	0.66
GCF_000014785.1_ASM1478v1_protein.faa.named.faa	0.3	0.05	0.34	0.81	0.67
GCF_000956315.1_ASM95631v1_protein.faa.named.faa	0.12	0.01	0.05	0.01	0.02
GCF_000612685.1_scf7180000000004_protein.faa.named.faa	0.01	0.09	0.32	0.39	0.69
GCF_000304215.1_ASM30421v1_protein.faa.named.faa	0.07	0.01	0.13	0.0	0.16
GCF_001442815.1_ASM144281v1_protein.faa.named.faa	0.05	0.02	0.29	0.24	0.48
GCF_000020485.1_ASM2048v1_protein.faa.named.faa	0.34	0.09	0.12	0.05	0.25
GCF_000092405.1_ASM9240v1_protein.faa.named.faa	0.32	0.1	0.27	0.16	0.45
GCF_000259275.1_ASM25927v1_protein.faa.named.faa	0.2	0.04	0.12	0.71	0.41
GCF_000980835.1_ASM98083v1_protein.faa.named.faa	0.08	0.13	0.33	0.3	0.33
GCF_000242635.2_ASM24263v3_protein.faa.named.faa	0.03	0.03	0.22	0.59	0.63
GCF_001605725.1_ASM160572v1_protein.faa.named.faa	0.16	0.02	0.44	0.21	0.72
GCF_001658025.1_ASM165802v1_protein.faa.named.faa	0.16	0.09	0.42	0.25	0.68
GCF_000310065.1_ASM31006v1_protein.faa.named.faa	0.13	0.04	0.36	0.33	0.66
GCF_000023605.1_ASM2360v1_protein.faa.named.faa	0.11	0.06	0.2	0.43	0.63
GCF_000009605.1_ASM960v1_protein.faa.named.faa	0.14	0.04	0.28	0.1	0.33
GCF_000236925.1_ASM23692v1_protein.faa.named.faa	0.06	0.01	0.23	0.22	0.4
GCF_001006045.1_ASM100604v1_protein.faa.named.faa	0.48	0.38	0.2	0.49	0.44
GCF_000761135.1_ASM76113v1_protein.faa.named.faa	0.2	0.01	0.05	0.29	0.07
GCF_000816025.1_ASM81602v1_protein.faa.named.faa	0.12	0.08	0.42	0.19	0.71
GCF_000817955.1_ASM81795v1_protein.faa.named.faa	0.3	0.11	0.46	0.82	0.72
GCF_000439435.1_ASM43943v1_protein.faa.named.faa	0.09	0.03	0.01	0.02	0.01
GCF_000241025.1_ASM24102v2_protein.faa.named.faa	0.28	0.06	0.05	0.46	0.3
GCF_000025005.1_ASM2500v1_protein.faa.named.faa	0.19	0.08	0.26	0.32	0.64
GCF_001482385.1_ASM148238v1_protein.faa.named.faa	0.23	0.01	0.39	0.43	0.49
GCF_000015205.1_ASM1520v1_protein.faa.named.faa	0.5	0.09	0.08	0.02	0.35
GCF_000244875.1_ASM24487v1_protein.faa.named.faa	0.12	0.09	0.36	0.07	0.4
GCF_001488575.1_Halobacterium_hubeiense_JI20-1_protein.faa.named.faa	0.16	0.1	0.23	0.27	0.54
GCF_000011805.1_ASM1180v1_protein.faa.named.faa	0.04	0.05	0.23	0.79	0.5
GCF_000242455.2_ASM24245v3_protein.faa.named.faa	0.26	0.19	0.36	0.55	0.75
GCF_000283575.1_ASM28357v1_protein.faa.named.faa	0.07	0.09	0.09	0.05	0.29
GCF_000284375.1_ASM28437v1_protein.faa.named.faa	0.11	0.08	0.68	0.65	0.87
GCF_000219705.1_ASM21970v1_protein.faa.named.faa	0.1	0.04	0.26	0.36	0.68
GCF_000183425.1_ASM18342v1_protein.faa.named.faa	0.1	0.01	0.32	0.43	0.44
GCF_001660045.1_ASM166004v1_protein.faa.named.faa	0.1	0.03	0.3	0.26	0.71
GCF_001507665.1_ASM150766v1_protein.faa.named.faa	0.04	0.03	0.36	0.39	0.6
GCF_000218895.1_ASM21889v1_protein.faa.named.faa	0.06	0.05	0.32	0.5	0.69
GCF_000023865.1_ASM2386v1_protein.faa.named.faa	0.11	0.06	0.46	0.21	0.68
GCF_000253275.1_ASM25327v1_protein.faa.named.faa	0.01	0.02	0.33	0.43	0.51
GCF_000297075.2_Ppseudo_final_protein.faa.named.faa	0.01	0.04	0.38	0.75	0.73
GCF_000269985.1_ASM26998v1_protein.faa.named.faa	0.19	0.03	0.29	0.16	0.7
GCF_000008345.1_ASM834v1_protein.faa.named.faa	0.11	0.02	0.15	0.36	0.53
GCF_000021865.1_ASM2186v1_protein.faa.named.faa	0.21	0.11	0.55	0.75	0.73
GCF_001605965.1_ASM160596v1_protein.faa.named.faa	0.05	0.04	0.35	0.51	0.68
GCF_000012085.1_ASM1208v1_protein.faa.named.faa	0.12	0.01	0.05	0.01	0.02
GCF_000757845.1_ASM75784v1_protein.faa.named.faa	0.16	0.08	0.67	0.33	0.52
GCF_000284635.1_ASM28463v1_protein.faa.named.faa	0.17	0.03	0.05	0.63	0.42
GCF_001302565.1_ASM130256v1_protein.faa.named.faa	0.33	0.02	0.34	0.26	0.56
GCF_000069965.1_ASM6996v1_protein.faa.named.faa	0.19	0.06	0.2	0.3	0.54
GCF_000021985.1_ASM2198v1_protein.faa.named.faa	0.59	0.07	0.38	0.68	0.66
GCF_001414055.1_ASM141405v1_protein.faa.named.faa	0.31	0.03	0.46	0.55	0.69
GCF_000146875.3_ASM14687v2_protein.faa.named.faa	0.22	0.03	0.27	0.19	0.45
GCF_000179035.2_ASM17903v2_protein.faa.named.faa	0.01	0.02	0.0	0.07	0.01
GCF_000600005.1_ASM60000v1_protein.faa.named.faa	0.08	0.06	0.33	0.12	0.51
GCF_000016565.1_ASM1656v1_protein.faa.named.faa	0.08	0.04	0.28	0.73	0.7
GCF_000961515.1_ASM96151v1_protein.faa.named.faa	0.01	0.04	0.33	0.55	0.77
GCF_000009785.1_ASM978v1_protein.faa.named.faa	0.16	0.06	0.3	0.38	0.65
GCF_000063605.1_ASM6360v1_protein.faa.named.faa	0.14	0.06	0.0	0.15	0.16
GCF_000982715.1_ASM98271v1_protein.faa.named.faa	0.1	0.04	0.32	0.24	0.66
GCF_001648175.1_ASM164817v1_protein.faa.named.faa	0.17	0.05	0.4	0.34	0.69
GCF_000769655.1_ASM76965v1_protein.faa.named.faa	0.35	0.1		0.06	0.31
GCF_000019125.1_ASM1912v1_protein.faa.named.faa	0.09	0.03	0.26	0.61	0.68
GCF_000011385.1_ASM1138v1_protein.faa.named.faa	0.12	0.09	0.6	0.32	0.72
GCF_000747525.1_ASM74752v1_protein.faa.named.faa	0.01	0.03	0.38	0.54	0.57
GCF_000014165.1_ASM1416v1_protein.faa.named.faa	0.11	0.04	0.43	0.23	0.7
GCF_000012265.1_ASM1226v1_protein.faa.named.faa	0.06	0.08	0.42	0.66	0.7
GCF_001278715.1_ASM127871v1_protein.faa.named.faa	0.09	0.04	0.29	0.22	0.6
GCF_000970285.1_ASM97028v1_protein.faa.named.faa	0.33	0.93	0.45	0.28	0.54
GCF_000730385.1_ASM73038v1_protein.faa.named.faa	0.02	0.04	0.37	0.63	0.56
GCF_000341355.1_ASM34135v1_protein.faa.named.faa	0.01	0.01	0.15	0.18	0.34
GCF_000218625.1_ASM21862v1_protein.faa.named.faa	0.29	0.07	0.11	0.51	0.53
GCF_000590455.1_ASM59045v1_protein.faa.named.faa	0.07	0.01	0.35	0.34	0.52
GCF_001278075.1_ASM127807v1_protein.faa.named.faa	0.23	0.02	0.33	0.19	0.69
GCF_000648515.1_ASM64851v1_protein.faa.named.faa	0.13	0.05	0.14	0.59	0.65
GCF_000017145.1_ASM1714v1_protein.faa.named.faa	0.0	0.12	0.6	0.73	0.83
GCF_000255115.2_ASM25511v3_protein.faa.named.faa	0.54	0.21	0.42	0.66	0.66
GCF_000385925.1_ASM38592v1_protein.faa.named.faa	0.27	0.14		0.02	0.1
GCF_000196455.1_ASM19645v1_protein.faa.named.faa	0.12	0.1	0.02	0.06	0.32
GCF_000328725.1_ASM32872v1_protein.faa.named.faa	0.06	0.09	0.0	0.15	0.16
GCF_001553605.1_ASM155360v1_protein.faa.named.faa	0.64	0.1	0.16	0.62	0.41
GCF_000818095.1_ASM81809v1_protein.faa.named.faa	0.2	0.02	0.39	0.33	0.55
GCF_000020805.1_ASM2080v1_protein.faa.named.faa	0.36	0.06	0.5	0.76	0.73
GCF_000016185.1_ASM1618v1_protein.faa.named.faa	0.05	0.1	0.55	0.79	0.71
GCF_000017605.1_ASM1760v1_protein.faa.named.faa	0.06	0.03	0.29	0.48	0.64
GCF_001587175.1_ASM158717v1_protein.faa.named.faa	0.1	0.06	0.02	0.02	0.07
GCF_000517445.1_ASM51744v1_protein.faa.named.faa	0.47	0.11		0.06	0.3
GCF_001483385.1_ASM148338v1_protein.faa.named.faa	0.02	0.01	0.21	0.37	0.37
GCF_001456115.1_ASM145611v1_protein.faa.named.faa	0.15	0.02	0.33	0.5	0.68
GCF_000020585.3_ASM2058v3_protein.faa.named.faa	0.09	0.04	0.27	0.65	0.5
GCF_001553895.1_ASM155389v1_protein.faa.named.faa	0.1	0.01	0.32	0.32	0.57
GCF_000265465.1_ASM26546v1_protein.faa.named.faa	0.15	0.29	0.09	0.52	0.22
GCF_000015945.1_ASM1594v1_protein.faa.named.faa	0.44	0.07	0.02	0.01	0.2
GCF_000092245.1_ASM9224v1_protein.faa.named.faa	0.37	0.11	0.54	0.75	0.74
GCF_000306785.1_ASM30678v1_protein.faa.named.faa	0.1	0.03	0.34	0.22	0.7
GCF_000759535.1_ASM75953v1_protein.faa.named.faa	0.09	0.03	0.28	0.49	0.64
GCF_000007385.1_ASM738v1_protein.faa.named.faa	0.32	0.04	0.3	0.45	0.64
GCF_000021745.1_ASM2174v1_protein.faa.named.faa	0.13	0.22	0.67	0.48	0.79
GCF_000283475.1_ASM28347v1_protein.faa.named.faa	0.04	0.04	0.39	0.41	0.74
GCF_000834455.1_ASM83445v1_protein.faa.named.faa	0.17	0.06	0.25	0.62	0.66
GCF_000011585.1_ASM1158v1_protein.faa.named.faa	0.34	0.91	0.47	0.05	0.36
GCF_000470775.1_ASM47077v1_protein.faa.named.faa	0.45	0.28	0.22	0.38	0.34
GCF_000590475.1_ASM59047v1_protein.faa.named.faa	0.03	0.04	0.42	0.69	0.72
GCF_001442755.1_ASM144275v1_protein.faa.named.faa	0.07	0.04	0.45	0.51	0.72
GCF_000006865.1_ASM686v1_protein.faa.named.faa	0.02	0.02	0.14	0.06	0.16
GCF_000495935.2_ASM49593v2_protein.faa.named.faa	0.03	0.03	0.26	0.24	0.55
GCF_000007725.1_ASM772v1_protein.faa.named.faa	0.14	0.02	0.14	0.1	0.28
GCF_000196815.1_ASM19681v1_protein.faa.named.faa	0.11	0.07	0.34	0.54	0.69
GCF_000011745.1_ASM1174v1_protein.faa.named.faa	0.13	0.03	0.29	0.12	0.36
GCF_001042675.1_ASM104267v1_protein.faa.named.faa	0.01	0.06	0.09	0.1	0.08
GCF_001021085.1_ASM102108v1_protein.faa.named.faa	0.01	0.0	0.15	0.07	0.28
GCF_000230995.2_ASM23099v3_protein.faa.named.faa	0.07	0.08	0.61	0.37	0.79
GCF_000018025.1_ASM1802v1_protein.faa.named.faa	0.18	0.05	0.25	0.97	0.57
GCF_000348745.1_ASM34874v1_protein.faa.named.faa	0.11	0.01	0.09	0.36	0.4
GCF_000299435.1_ASM29943v1_protein.faa.named.faa	0.32	0.1	0.24	0.34	0.34
GCF_000612055.1_ASM61205v1_protein.faa.named.faa	0.01	0.0		0.07	0.33
GCF_000758725.1_ASM75872v1_protein.faa.named.faa	0.22	0.06	0.61	0.34	0.57
GCF_000009845.1_ASM984v1_protein.faa.named.faa	0.02	0.08	0.02	0.03	0.02
GCF_000968375.1_ASM96837v1_protein.faa.named.faa	0.19	0.22	0.42	0.06	0.45
GCF_001314995.1_ASM131499v1_protein.faa.named.faa	0.05	0.08	0.08	0.49	0.4
GCF_000385945.1_ASM38594v1_protein.faa.named.faa	0.0	0.04	0.32	0.2	0.7
GCF_000008785.1_ASM878v1_protein.faa.named.faa	0.12	0.03	0.15	0.38	0.38
GCF_000009005.1_ASM900v1_protein.faa.named.faa	0.0	0.01	0.23	0.22	0.4
GCF_000151105.2_ASM15110v2_protein.faa.named.faa	0.47	0.08		0.05	0.28
GCF_000196435.1_ASM19643v1_protein.faa.named.faa	0.03	0.01	0.15	0.39	0.37
GCF_000018265.1_ASM1826v1_protein.faa.named.faa	0.14	0.04	0.33	0.22	0.7
GCF_000018445.1_ASM1844v1_protein.faa.named.faa	0.14	0.04	0.25	0.2	0.59
GCF_000025265.1_ASM2526v1_protein.faa.named.faa	0.04	0.04	0.4	0.31	0.68
GCF_000214155.1_ASM21415v1_protein.faa.named.faa	0.14	0.04	0.4	0.21	0.7
GCF_000012645.1_ASM1264v1_protein.faa.named.faa	0.15	0.06	0.7	0.33	0.49
GCF_000018485.1_ASM1848v1_protein.faa.named.faa	0.29	0.9	0.37	0.06	0.31
GCF_000266885.1_ASM26688v1_protein.faa.named.faa	0.03	0.02	0.36	0.59	0.64
GCF_000521605.1_ASM52160v1_protein.faa.named.faa	0.1	0.03	0.08	0.45	0.33
GCF_000215745.1_ASM21574v1_protein.faa.named.faa	0.07	0.07	0.36	0.6	0.71
GCF_000227745.2_ASM22774v3_protein.faa.named.faa	0.63	0.13	0.47	0.87	0.7
GCF_000253055.1_ASM25305v1_protein.faa.named.faa	0.6	0.07	0.08	0.15	0.42
GCF_000734975.2_ASM73497v2_protein.faa.named.faa	0.1	0.04	0.34	0.4	0.67
GCF_000010065.1_ASM1006v1_protein.faa.named.faa	0.21	0.11	0.8	0.35	0.67
GCF_000257545.3_ASM25754v3_protein.faa.named.faa	0.13	0.04	0.35	0.62	0.71
GCF_000026145.1_ASM2614v1_protein.faa.named.faa	0.09	0.07	0.68	0.65	0.85
GCF_000815025.1_ASM81502v1_protein.faa.named.faa	0.11	0.03	0.09	0.13	0.26
GCF_000015445.1_ASM1544v1_protein.faa.named.faa	0.0	0.01	0.15	0.15	0.33
GCF_000973505.1_ASM97350v1_protein.faa.named.faa	0.1	0.04	0.28	0.12	0.34
GCF_000284235.1_ASM28423v1_protein.faa.named.faa	0.18	0.08	0.46	0.44	0.7
GCF_000014865.1_ASM1486v1_protein.faa.named.faa	0.39	0.11	0.49	0.75	0.68
GCF_000785705.2_ASM78570v2_protein.faa.named.faa	0.27	0.21	0.7	0.76	0.78
GCF_000235585.1_ASM23558v1_protein.faa.named.faa	0.15	0.05	0.45	0.19	0.53
GCF_000225445.1_ASM22544v1_protein.faa.named.faa	0.14	0.04	0.28	0.1	0.33
GCF_000698845.1_ASM69884v1_protein.faa.named.faa	0.09	0.09	0.59	0.4	0.82
GCF_001305675.1_ASM130567v1_protein.faa.named.faa	0.03	0.02	0.34	0.23	0.68
GCF_000007865.1_ASM786v1_protein.faa.named.faa	0.17	0.03	0.42	0.21	0.7
GCF_001190965.1_ASM119096v1_protein.faa.named.faa	0.04	0.09	0.28	0.28	0.61
GCF_000226315.1_ASM22631v1_protein.faa.named.faa	0.21	0.0	0.1	0.36	0.4
GCF_001183865.1_ASM118386v1_protein.faa.named.faa	0.02	0.22	0.47	0.43	0.72
GCF_000204115.1_ASM20411v1_protein.faa.named.faa	0.22	0.07	0.23	0.77	0.64
GCF_000242255.2_ASM24225v3_protein.faa.named.faa	0.07	0.04	0.38	0.52	0.69
GCF_001559115.1_ASM155911v1_protein.faa.named.faa	0.15	0.02	0.24	0.24	0.43
GCF_000196295.1_ASM19629v1_protein.faa.named.faa	0.02	0.03	0.18	0.3	0.53
GCF_000092285.1_ASM9228v1_protein.faa.named.faa	0.24	0.03	0.36	0.56	0.69
GCF_000011465.1_ASM1146v1_protein.faa.named.faa	0.12	0.06	0.78	0.33	0.5
GCF_000177615.2_ASM17761v2_protein.faa.named.faa	0.06	0.05	0.51	0.25	0.72
GCF_001017435.1_ASM101743v1_protein.faa.named.faa	0.14	0.04	0.43	0.57	0.74
GCF_000513295.1_MGMSRv2_protein.faa.named.faa	0.36	0.07	0.59	0.84	0.77
GCF_000410575.1_ASM41057v1_protein.faa.named.faa	0.07	0.03	0.26	0.61	0.68
GCF_000010305.1_ASM1030v1_protein.faa.named.faa	0.09	0.04	0.2	0.53	0.61
GCF_000008025.1_ASM802v1_protein.faa.named.faa	0.05	0.03	0.17	0.35	0.32
GCF_000183385.1_ASM18338v1_protein.faa.named.faa	0.14	0.06	0.0	0.15	0.16
GCF_000025965.1_ASM2596v1_protein.faa.named.faa	0.07	0.04	0.33	0.87	0.67
GCF_000024445.1_ASM2444v1_protein.faa.named.faa	0.05	0.01	0.15	0.0	0.15
GCF_000025925.1_ASM2592v1_protein.faa.named.faa	0.1	0.02	0.1	0.13	0.32
GCF_000219175.1_ASM21917v1_protein.faa.named.faa	0.11	0.04	0.18	0.01	0.26
GCF_000243155.2_ASM24315v3_protein.faa.named.faa	0.25	0.17	0.23	0.69	0.6
GCF_001693385.1_ASM169338v1_protein.faa.named.faa	0.12	0.09	0.66	0.73	0.87
GCF_001078055.1_ASM107805v1_protein.faa.named.faa	0.03	0.04	0.31	0.51	0.58
GCF_000800475.2_ASM80047v2_protein.faa.named.faa	0.02	0.0	0.16	0.06	0.16
GCF_000046845.1_ASM4684v1_protein.faa.named.faa	0.17	0.04	0.29	0.19	0.58
GCF_000012925.1_ASM1292v1_protein.faa.named.faa	0.26	0.11	0.46	0.89	0.72
GCF_000024545.1_ASM2454v1_protein.faa.named.faa	0.2	0.04	0.33	0.19	0.71
GCF_000785495.1_ASM78549v1_protein.faa.named.faa	0.02	0.03	0.35	0.21	0.71
GCF_000019925.1_ASM1992v1_protein.faa.named.faa	0.07	0.05	0.38	0.45	0.75
GCF_000010625.1_ASM1062v1_protein.faa.named.faa	0.15	0.12	0.67	0.39	0.7
GCF_000972245.3_ASM97224v3_protein.faa.named.faa	0.06	0.03	0.33	0.31	0.61
GCF_000973705.1_ASM97370v1_protein.faa.named.faa	0.16	0.06	0.28	0.1	0.38
GCF_000953695.1_AWOD1_protein.faa.named.faa	0.06	0.04	0.24	0.8	0.47
GCF_001558435.1_ASM155843v1_protein.faa.named.faa	0.14	0.03	0.28	0.82	0.54
GCF_000011085.1_ASM1108v1_protein.faa.named.faa	0.15	0.07	0.3	0.32	0.64
GCF_000243135.2_ASM24313v3_protein.faa.named.faa	0.3	0.16	0.23	0.69	0.55
GCF_001542565.1_ASM154256v1_protein.faa.named.faa	0.37	0.01	0.33	0.24	0.59
GCF_000016425.1_ASM1642v1_protein.faa.named.faa	0.14	0.03	0.32	0.21	0.68
GCF_000019965.1_ASM1996v1_protein.faa.named.faa	0.16	0.06	0.32	0.59	0.66
GCF_001628715.1_ASM162871v1_protein.faa.named.faa	0.02	0.04	0.33	0.63	0.61
GCF_001455085.1_ASM145508v1_protein.faa.named.faa	0.03	0.06	0.3	0.06	0.24
GCF_000008565.1_ASM856v1_protein.faa.named.faa	0.04	0.05	0.36	0.36	0.65
GCF_000008685.2_ASM868v2_protein.faa.named.faa	0.12	0.05	0.05	0.13	0.03
GCF_001661075.1_ASM166107v1_protein.faa.named.faa	0.1	0.04	0.36	0.72	0.73
GCF_000212335.1_ASM21233v1_protein.faa.named.faa	0.02	0.05	0.41	0.71	0.59
GCF_000706725.1_ASM70672v1_protein.faa.named.faa	0.02	0.02	0.42	0.34	0.48
GCF_000212395.1_ASM21239v1_protein.faa.named.faa	0.61	0.12	0.43	0.07	0.52
GCF_000009365.1_ASM936v1_protein.faa.named.faa	0.13	0.04	0.36	0.51	0.56
GCF_000196235.1_ASM19623v1_protein.faa.named.faa	0.18	0.0	0.31	0.21	0.66
GCF_000198515.1_ASM19851v1_protein.faa.named.faa	0.25	0.04	0.31	0.37	0.68
GCF_000008005.1_ASM800v1_protein.faa.named.faa	0.11	0.03	0.4	0.36	0.63
GCF_000020785.1_ASM2078v1_protein.faa.named.faa	0.56	0.08	0.23	0.39	0.51
GCF_000746525.1_ASM74652v1_protein.faa.named.faa	0.04	0.05	0.25	0.72	0.71
GCF_000477435.1_ASM47743v1_protein.faa.named.faa	0.16	0.04	0.22	0.12	0.4
GCF_000009305.1_ASM930v1_protein.faa.named.faa	0.06	0.02	0.16	0.39	0.36
GCF_000013565.1_ASM1356v1_protein.faa.named.faa	0.06	0.12	0.55	0.43	0.73
GCF_000046685.1_ASM4668v1_protein.faa.named.faa	0.03	0.01	0.1	0.12	0.29
GCF_000006175.1_ASM617v2_protein.faa.named.faa	0.36	0.84	0.33	0.06	0.3
GCF_000243075.1_ASM24307v1_protein.faa.named.faa	0.19	0.04	0.33	0.77	0.65
GCF_000330845.1_ASM33084v1_protein.faa.named.faa	0.11	0.06	0.4	0.36	0.7
GCF_001023575.1_ASM102357v1_protein.faa.named.faa	0.04	0.1	0.36	0.29	0.64
GCF_000020025.1_ASM2002v1_protein.faa.named.faa	0.16	0.13	0.63	0.33	0.78
GCF_000755585.2_ASM75558v2_protein.faa.named.faa	0.35	0.0	0.33	0.22	0.55
GCF_000237205.1_ASM23720v1_protein.faa.named.faa	0.14	0.35	0.12	0.09	0.2
GCF_000757825.1_ASM75782v1_protein.faa.named.faa	0.08	0.05	0.14	0.63	0.65
GCF_000367425.1_ASM36742v1_protein.faa.named.faa	0.07	0.07	0.25	0.37	0.67
GCF_001278095.1_ASM127809v1_protein.faa.named.faa	0.03	0.04	0.32	0.22	0.7
GCF_000191145.1_ASM19114v1_protein.faa.named.faa	0.14	0.04	0.24	0.22	0.61
GCF_000024845.1_ASM2484v1_protein.faa.named.faa	0.32	0.05	0.28	0.49	0.67
GCF_000012405.1_ASM1240v1_protein.faa.named.faa	0.1	0.03	0.38	0.24	0.65
GCF_000816845.1_ASM81684v1_protein.faa.named.faa	0.02	0.18	0.59	0.72	0.85
GCF_000022645.2_ASM2264v1_protein.faa.named.faa	0.07	0.06	0.4	0.56	0.72
GCF_000022525.1_ASM2252v1_protein.faa.named.faa	0.08	0.01	0.12	0.38	0.33
GCF_000193395.1_ASM19339v1_protein.faa.named.faa	0.0	0.01		0.36	0.3
GCF_000148385.1_ASM14838v1_protein.faa.named.faa	0.61	0.06	0.15	0.25	0.43
GCF_000172635.2_ASM17263v2_protein.faa.named.faa	0.29	0.05	0.36	0.41	0.5
GCF_000175575.2_ASM17557v2_protein.faa.named.faa	0.39	0.05	0.26	0.22	0.54
GCF_000321415.2_ASM32141v2_protein.faa.named.faa	0.64	0.06	0.27	0.81	0.74
GCF_000148645.1_ASM14864v1_protein.faa.named.faa	0.15	0.05	0.26	0.94	0.58
GCF_001281045.1_ASM128104v1_protein.faa.named.faa	0.1	0.03	0.01	0.02	0.01
GCF_000172995.2_ASM17299v2_protein.faa.named.faa	0.05	0.11	0.27	0.28	0.61
GCF_000940995.1_ASM94099v1_protein.faa.named.faa	0.12	0.05	0.49	0.88	0.62
GCF_000313175.2_ASM31317v2_protein.faa.named.faa	0.08	0.03	0.34	0.4	0.62
GCF_000007265.1_ASM726v1_protein.faa.named.faa	0.27	0.0	0.04	0.1	0.06
GCF_000007085.1_ASM708v1_protein.faa.named.faa	0.18	0.09	0.08	0.11	0.32
GCF_000213805.1_ASM21380v1_protein.faa.named.faa	0.2	0.03	0.27	0.73	0.68
GCF_000478885.1_ASM47888v1_protein.faa.named.faa	0.31	0.07		0.35	0.36
GCF_001007875.1_ASM100787v1_protein.faa.named.faa	0.58	0.24	0.51	0.85	0.72
GCF_000296215.2_ASM29621v2_protein.faa.named.faa	0.12	0.08	0.69	0.66	0.87
GCF_000006905.1_ASM690v1_protein.faa.named.faa	0.19	0.03	0.36	0.45	0.67
GCF_000024425.1_ASM2442v1_protein.faa.named.faa	0.14	0.03	0.36	0.31	0.67
GCF_000023165.1_ASM2316v1_protein.faa.named.faa	0.09	0.05	0.04	0.03	0.0
GCF_000009345.1_ASM934v1_protein.faa.named.faa	0.13	0.07	0.27	0.61	0.69
GCF_001676765.1_ASM167676v1_protein.faa.named.faa	0.07	0.12	0.6	0.37	0.81
GCF_000829315.1_ASM82931v1_protein.faa.named.faa	0.02	0.03	0.17	0.35	0.32
GCF_000800395.1_ASM80039v1_protein.faa.named.faa	0.07	0.03	0.39	0.37	0.62
GCF_001534645.1_ASM153464v1_protein.faa.named.faa	0.02	0.01	0.22	0.36	0.53
GCF_000496635.1_ASM49663v1_protein.faa.named.faa	0.32	0.1	0.24	0.33	0.34
GCF_001444365.1_ASM144436v1_protein.faa.named.faa	0.0	0.03	0.27	0.77	0.62
GCF_000014465.1_ASM1446v1_protein.faa.named.faa	0.33	0.03		0.44	0.08
GCF_001421015.1_ASM142101v1_protein.faa.named.faa	0.18	0.03	0.28	0.16	0.54
GCF_000973545.1_ASM97354v1_protein.faa.named.faa	0.07	0.04	0.28	0.09	0.35
GCF_000017405.1_ASM1740v1_protein.faa.named.faa	0.07	0.03	0.32	0.41	0.67
GCF_000473995.1_ASM47399v1_protein.faa.named.faa	0.11	0.13	0.13	0.17	0.34
GCF_000012885.1_ASM1288v1_protein.faa.named.faa	0.26	0.12	0.56	0.44	0.6
GCF_000166415.1_ASM16641v1_protein.faa.named.faa	0.08	0.22	0.12	0.1	0.31
GCF_000473245.1_ASM47324v1_protein.faa.named.faa	0.13	0.04	0.37	0.33	0.62
GCF_000016745.1_ASM1674v1_protein.faa.named.faa	0.3	0.1	0.47	0.87	0.7
GCF_000007825.1_ASM782v1_protein.faa.named.faa	0.17	0.02	0.36	0.36	0.62
GCF_000816085.1_ASM81608v1_protein.faa.named.faa	0.04	0.01	0.28	0.2	0.45
GCF_000192745.1_ASM19274v1_protein.faa.named.faa	0.0	0.06	0.42	0.55	0.75
GCF_000011065.1_ASM1106v1_protein.faa.named.faa	0.1	0.08	0.14	0.49	0.42
GCF_000756615.1_ASM75661v1_protein.faa.named.faa	0.25	0.07	0.53	0.38	0.66
GCF_000014765.1_ASM1476v1_protein.faa.named.faa	0.21	0.05	0.33	0.75	0.65
GCF_000009225.2_ASM922v1_protein.faa.named.faa	0.2	0.04	0.34	0.52	0.74
GCF_000993785.2_ASM99378v2_protein.faa.named.faa	0.03	0.04	0.32	0.21	0.68
GCF_000447675.1_ASM44767v1_protein.faa.named.faa	0.03	0.01	0.03	0.08	0.22
GCF_000212675.2_ASM21267v2_protein.faa.named.faa	0.61	0.17	0.52	0.55	0.62
GCF_000022565.1_ASM2256v1_protein.faa.named.faa	0.07	0.09	0.42	0.59	0.66
